,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
80s Mercedes,0.0665,https://api.spotify.com/v1/audio-analysis/58spuRyMUsjKHQHEGwLC99,0.485,211767,0.834,58spuRyMUsjKHQHEGwLC99,0,9,0.28,-5.413,1,0.0715,90.933,4,https://api.spotify.com/v1/tracks/58spuRyMUsjKHQHEGwLC99,audio_features,spotify:track:58spuRyMUsjKHQHEGwLC99,0.659
A Guy Walks Into A Bar,0.083,https://api.spotify.com/v1/audio-analysis/16PNN9wK1LbedzcTp7y8y0,0.428,196000,0.78,16PNN9wK1LbedzcTp7y8y0,0,0,0.115,-3.472,1,0.0373,147.986,4,https://api.spotify.com/v1/tracks/16PNN9wK1LbedzcTp7y8y0,audio_features,spotify:track:16PNN9wK1LbedzcTp7y8y0,0.431
A Guy With A Girl,0.0158,https://api.spotify.com/v1/audio-analysis/5sjIhQzNljMVrDklI91ezp,0.552,189467,0.893,5sjIhQzNljMVrDklI91ezp,0,0,0.105,-4.593,1,0.0383,163.948,4,https://api.spotify.com/v1/tracks/5sjIhQzNljMVrDklI91ezp,audio_features,spotify:track:5sjIhQzNljMVrDklI91ezp,0.777
A Little Bit Stronger,0.282,https://api.spotify.com/v1/audio-analysis/5FIp4LrsffxiHLhmmpCbCx,0.536,301987,0.65,5FIp4LrsffxiHLhmmpCbCx,1.16e-06,2,0.0876,-5.603,1,0.0337,147.93,4,https://api.spotify.com/v1/tracks/5FIp4LrsffxiHLhmmpCbCx,audio_features,spotify:track:5FIp4LrsffxiHLhmmpCbCx,0.288
A Thousand Years,0.309,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,0.421,285120,0.407,6lanRgr6wXibZr8KgzXxBl,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,audio_features,spotify:track:6lanRgr6wXibZr8KgzXxBl,0.161
A Woman Like You,0.245,https://api.spotify.com/v1/audio-analysis/3oyMHCAAcnWFdcGuVgwfhd,0.592,209787,0.584,3oyMHCAAcnWFdcGuVgwfhd,0,7,0.0862,-7.422,1,0.0305,160.048,4,https://api.spotify.com/v1/tracks/3oyMHCAAcnWFdcGuVgwfhd,audio_features,spotify:track:3oyMHCAAcnWFdcGuVgwfhd,0.371
About The Money,0.0487,https://api.spotify.com/v1/audio-analysis/1hzJQIkgXwZevaKsc7iA6D,0.81,270120,0.721,1hzJQIkgXwZevaKsc7iA6D,0,9,0.0886,-4.964,0,0.265,101.997,4,https://api.spotify.com/v1/tracks/1hzJQIkgXwZevaKsc7iA6D,audio_features,spotify:track:1hzJQIkgXwZevaKsc7iA6D,0.552
About You,0.219,https://api.spotify.com/v1/audio-analysis/2FTeQQ5Rg9tBpgpTF5mnhE,0.946,246988,0.646,2FTeQQ5Rg9tBpgpTF5mnhE,0,5,0.0643,-6.604,1,0.21,127.978,4,https://api.spotify.com/v1/tracks/2FTeQQ5Rg9tBpgpTF5mnhE,audio_features,spotify:track:2FTeQQ5Rg9tBpgpTF5mnhE,0.961
Acapella,0.126,https://api.spotify.com/v1/audio-analysis/6RjW45KHJ6kgI2xQ1aFa52,0.667,198907,0.619,6RjW45KHJ6kgI2xQ1aFa52,0,2,0.101,-4.933,1,0.151,169.865,4,https://api.spotify.com/v1/tracks/6RjW45KHJ6kgI2xQ1aFa52,audio_features,spotify:track:6RjW45KHJ6kgI2xQ1aFa52,0.427
Adorn,0.0543,https://api.spotify.com/v1/audio-analysis/25cUhiAod71TIQSNicOaW3,0.625,193147,0.576,25cUhiAod71TIQSNicOaW3,4.07e-05,11,0.187,-5.693,0,0.175,179.063,4,https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3,audio_features,spotify:track:25cUhiAod71TIQSNicOaW3,0.235
Ai Se Eu Te Pego,0.222,https://api.spotify.com/v1/audio-analysis/46aIq2GKW7Vr6i4g2Vvycd,0.65,170493,0.947,46aIq2GKW7Vr6i4g2Vvycd,0,11,0.979,-5.326,1,0.0717,96.035,4,https://api.spotify.com/v1/tracks/46aIq2GKW7Vr6i4g2Vvycd,audio_features,spotify:track:46aIq2GKW7Vr6i4g2Vvycd,0.694
Ain't It Fun,0.154,https://api.spotify.com/v1/audio-analysis/1j8z4TTjJ1YOdoFEDwJTQa,0.61,296520,0.893,1j8z4TTjJ1YOdoFEDwJTQa,4.41e-05,9,0.021,-3.681,1,0.0921,104.031,4,https://api.spotify.com/v1/tracks/1j8z4TTjJ1YOdoFEDwJTQa,audio_features,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,0.673
Ain't Leavin Without You,0.151,https://api.spotify.com/v1/audio-analysis/7nkIQ02m4KItFfDfWrEApi,0.741,200613,0.754,7nkIQ02m4KItFfDfWrEApi,0,10,0.265,-5.899,0,0.247,98.929,4,https://api.spotify.com/v1/tracks/7nkIQ02m4KItFfDfWrEApi,audio_features,spotify:track:7nkIQ02m4KItFfDfWrEApi,0.819
Ain't My Fault,0.00155,https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3,0.723,216800,0.824,08wJ1B9yu9sPeoRa5fbpr3,0.167,11,0.333,-5.911,0,0.0331,123.011,4,https://api.spotify.com/v1/tracks/08wJ1B9yu9sPeoRa5fbpr3,audio_features,spotify:track:08wJ1B9yu9sPeoRa5fbpr3,0.76
Ain't Worried About Nothin,0.0249,https://api.spotify.com/v1/audio-analysis/0UAmPUdpTRq8w54B3H8TzY,0.69,212427,0.907,0UAmPUdpTRq8w54B3H8TzY,0,1,0.0913,-2.237,1,0.113,127.972,4,https://api.spotify.com/v1/tracks/0UAmPUdpTRq8w54B3H8TzY,audio_features,spotify:track:0UAmPUdpTRq8w54B3H8TzY,0.691
Ain't Worth The Whiskey,0.042,https://api.spotify.com/v1/audio-analysis/3OZVqx1YsqDDkxQ6TnmHtn,0.432,191907,0.738,3OZVqx1YsqDDkxQ6TnmHtn,0,2,0.119,-3.91,1,0.0309,153.712,4,https://api.spotify.com/v1/tracks/3OZVqx1YsqDDkxQ6TnmHtn,audio_features,spotify:track:3OZVqx1YsqDDkxQ6TnmHtn,0.503
Alive,0.00104,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,0.922,181263,0.581,4qKcDkK6siZ7Jp1Jb4m0aL,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,audio_features,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,0.595
All About It,0.0124,https://api.spotify.com/v1/audio-analysis/2rvHIXjN4TCFuFLZk3qAxn,0.738,205733,0.87,2rvHIXjN4TCFuFLZk3qAxn,0,1,0.14,-5.343,0,0.0844,89.988,4,https://api.spotify.com/v1/tracks/2rvHIXjN4TCFuFLZk3qAxn,audio_features,spotify:track:2rvHIXjN4TCFuFLZk3qAxn,0.845
All About Tonight,0.409,https://api.spotify.com/v1/audio-analysis/15fZHvjZXoAILTvmt4EXIk,0.412,187733,0.457,15fZHvjZXoAILTvmt4EXIk,0.0187,4,0.0978,-9.142,1,0.0288,74.824,4,https://api.spotify.com/v1/tracks/15fZHvjZXoAILTvmt4EXIk,audio_features,spotify:track:15fZHvjZXoAILTvmt4EXIk,0.202
All Gold Everything,0.0275,https://api.spotify.com/v1/audio-analysis/0pgeVJrdNok4KhbiM58ayZ,0.697,187907,0.75,0pgeVJrdNok4KhbiM58ayZ,0,7,0.355,-8.864,1,0.311,99.96,4,https://api.spotify.com/v1/tracks/0pgeVJrdNok4KhbiM58ayZ,audio_features,spotify:track:0pgeVJrdNok4KhbiM58ayZ,0.616
All I Ever Wanted,0.0014,https://api.spotify.com/v1/audio-analysis/4Dm32oO01YpIubCHaAtKkN,0.526,211493,0.882,4Dm32oO01YpIubCHaAtKkN,0,9,0.144,-4.006,1,0.0509,144.982,4,https://api.spotify.com/v1/tracks/4Dm32oO01YpIubCHaAtKkN,audio_features,spotify:track:4Dm32oO01YpIubCHaAtKkN,0.424
All I Want Is You,0.0275,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,0.684,195373,0.603,0JXXNGljqupsJaZsgSbMZV,0.000311,11,0.191,-8.127,0,0.0989,81.0,4,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,audio_features,spotify:track:0JXXNGljqupsJaZsgSbMZV,0.504
All In My Head (Flex),0.023,https://api.spotify.com/v1/audio-analysis/7nD9nN3jord9wWcfW3Gkcm,0.689,210573,0.791,7nD9nN3jord9wWcfW3Gkcm,0,0,0.0526,-5.194,0,0.053,95.04,4,https://api.spotify.com/v1/tracks/7nD9nN3jord9wWcfW3Gkcm,audio_features,spotify:track:7nD9nN3jord9wWcfW3Gkcm,0.755
All Kinds Of Kinds,0.000283,https://api.spotify.com/v1/audio-analysis/2WapqZd4oJUHZQihlFUcX5,0.825,438221,0.601,2WapqZd4oJUHZQihlFUcX5,0.884,10,0.0745,-10.194,0,0.0513,124.004,4,https://api.spotify.com/v1/tracks/2WapqZd4oJUHZQihlFUcX5,audio_features,spotify:track:2WapqZd4oJUHZQihlFUcX5,0.314
All Of Me,0.922,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,0.422,269560,0.264,3U4isOIWM3VvDubwSI3y7a,0,8,0.132,-7.064,1,0.0322,119.93,4,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.331
All Of The Lights,0.0724,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,0.558,299613,0.794,22L7bfCiAkJo5xGSQgmiIO,2.15e-05,1,0.19,-3.234,1,0.0533,142.156,4,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,audio_features,spotify:track:22L7bfCiAkJo5xGSQgmiIO,0.297
All On Me,0.14,https://api.spotify.com/v1/audio-analysis/2mfahQ0EaaZWq4cFNg6A1o,0.634,224627,0.668,2mfahQ0EaaZWq4cFNg6A1o,0,5,0.216,-5.488,1,0.0291,80.989,4,https://api.spotify.com/v1/tracks/2mfahQ0EaaZWq4cFNg6A1o,audio_features,spotify:track:2mfahQ0EaaZWq4cFNg6A1o,0.635
All Over Me,0.32,https://api.spotify.com/v1/audio-analysis/6z1frj1JhCZhgKzUZUNU31,0.58,220347,0.533,6z1frj1JhCZhgKzUZUNU31,0,8,0.11,-6.424,1,0.0278,147.963,4,https://api.spotify.com/v1/tracks/6z1frj1JhCZhgKzUZUNU31,audio_features,spotify:track:6z1frj1JhCZhgKzUZUNU31,0.123
All Over The Road,0.0527,https://api.spotify.com/v1/audio-analysis/6XD3HMATLswheYevIfKkSi,0.515,163067,0.812,6XD3HMATLswheYevIfKkSi,0,5,0.0927,-3.344,1,0.0385,199.975,4,https://api.spotify.com/v1/tracks/6XD3HMATLswheYevIfKkSi,audio_features,spotify:track:6XD3HMATLswheYevIfKkSi,0.758
All The Pretty Girls,0.00916,https://api.spotify.com/v1/audio-analysis/66pxmg3Jhjm09tHoWR1wVR,0.612,212893,0.848,66pxmg3Jhjm09tHoWR1wVR,0,6,0.366,-3.736,1,0.0368,120.996,4,https://api.spotify.com/v1/tracks/66pxmg3Jhjm09tHoWR1wVR,audio_features,spotify:track:66pxmg3Jhjm09tHoWR1wVR,0.719
All The Way Up,0.062,https://api.spotify.com/v1/audio-analysis/61QSuw5VlC0LTS8WMO356g,0.536,191942,0.721,61QSuw5VlC0LTS8WMO356g,0,10,0.824,-6.44,0,0.386,117.139,5,https://api.spotify.com/v1/tracks/61QSuw5VlC0LTS8WMO356g,audio_features,spotify:track:61QSuw5VlC0LTS8WMO356g,0.393
All Time Low,0.0508,https://api.spotify.com/v1/audio-analysis/0SuLAslEMFZAXf0SwY7syi,0.584,217603,0.569,0SuLAslEMFZAXf0SwY7syi,0,0,0.0924,-4.259,1,0.166,89.779,4,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,audio_features,spotify:track:0SuLAslEMFZAXf0SwY7syi,0.501
All Your Life,0.0312,https://api.spotify.com/v1/audio-analysis/62nFeTispaiYq1KzGrONsl,0.518,216880,0.624,62nFeTispaiYq1KzGrONsl,0.000171,0,0.131,-6.134,1,0.0256,87.565,4,https://api.spotify.com/v1/tracks/62nFeTispaiYq1KzGrONsl,audio_features,spotify:track:62nFeTispaiYq1KzGrONsl,0.241
Alone Together,0.00159,https://api.spotify.com/v1/audio-analysis/5MsZIaCYY6Tsdph0LiB0hE,0.465,203413,0.909,5MsZIaCYY6Tsdph0LiB0hE,2.32e-05,9,0.215,-3.702,1,0.0825,179.938,4,https://api.spotify.com/v1/tracks/5MsZIaCYY6Tsdph0LiB0hE,audio_features,spotify:track:5MsZIaCYY6Tsdph0LiB0hE,0.593
Alone With You,0.798,https://api.spotify.com/v1/audio-analysis/3g2koMSfvsAGKcBAHyFtUF,0.553,186584,0.274,3g2koMSfvsAGKcBAHyFtUF,7.13e-06,1,0.103,-12.564,1,0.0379,86.672,4,https://api.spotify.com/v1/tracks/3g2koMSfvsAGKcBAHyFtUF,audio_features,spotify:track:3g2koMSfvsAGKcBAHyFtUF,0.208
Already Callin' You Mine,0.0504,https://api.spotify.com/v1/audio-analysis/3jSyE8r8vgg8fmwojoMzql,0.59,184387,0.887,3jSyE8r8vgg8fmwojoMzql,0,1,0.132,-2.634,1,0.0353,120.061,4,https://api.spotify.com/v1/tracks/3jSyE8r8vgg8fmwojoMzql,audio_features,spotify:track:3jSyE8r8vgg8fmwojoMzql,0.679
Alright,0.0734,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,0.791,219333,0.779,3iVcZ5G6tvkXZkZKlMpIUs,0,7,0.0832,-5.972,1,0.235,110.037,4,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs,audio_features,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,0.56
Am I The Only One,0.29,https://api.spotify.com/v1/audio-analysis/59tUXZ9dL0qkaa18WCfUnZ,0.579,191253,0.878,59tUXZ9dL0qkaa18WCfUnZ,0,2,0.789,-5.396,1,0.145,165.972,4,https://api.spotify.com/v1/tracks/59tUXZ9dL0qkaa18WCfUnZ,audio_features,spotify:track:59tUXZ9dL0qkaa18WCfUnZ,0.88
Am I Wrong,0.162,https://api.spotify.com/v1/audio-analysis/2wqaekenSQZm7hxQOYt8oE,0.725,247520,0.68,2wqaekenSQZm7hxQOYt8oE,2.13e-06,8,0.158,-5.465,1,0.0306,119.939,4,https://api.spotify.com/v1/tracks/2wqaekenSQZm7hxQOYt8oE,audio_features,spotify:track:2wqaekenSQZm7hxQOYt8oE,0.76
Amen,0.00101,https://api.spotify.com/v1/audio-analysis/4YX7OBp0yoMwC6eZNNg5ky,0.563,180243,0.772,4YX7OBp0yoMwC6eZNNg5ky,1.95e-05,5,0.214,-6.737,1,0.0593,119.909,4,https://api.spotify.com/v1/tracks/4YX7OBp0yoMwC6eZNNg5ky,audio_features,spotify:track:4YX7OBp0yoMwC6eZNNg5ky,0.394
American Country Love Song,0.0457,https://api.spotify.com/v1/audio-analysis/0O1x2tRm8ZpfDbcpOWZp7z,0.529,199747,0.891,0O1x2tRm8ZpfDbcpOWZp7z,0,8,0.0942,-4.36,1,0.043,104.031,4,https://api.spotify.com/v1/tracks/0O1x2tRm8ZpfDbcpOWZp7z,audio_features,spotify:track:0O1x2tRm8ZpfDbcpOWZp7z,0.329
American Honey,0.508,https://api.spotify.com/v1/audio-analysis/4xInIiKipU1mtUogJ3ZdYr,0.588,224867,0.684,4xInIiKipU1mtUogJ3ZdYr,0,1,0.141,-5.154,1,0.0288,85.997,4,https://api.spotify.com/v1/tracks/4xInIiKipU1mtUogJ3ZdYr,audio_features,spotify:track:4xInIiKipU1mtUogJ3ZdYr,0.121
American Kids,0.0476,https://api.spotify.com/v1/audio-analysis/1dgWTMoHwTUnQhOQ8SR5fV,0.733,182960,0.589,1dgWTMoHwTUnQhOQ8SR5fV,5.85e-06,7,0.0366,-7.37,1,0.1,170.097,4,https://api.spotify.com/v1/tracks/1dgWTMoHwTUnQhOQ8SR5fV,audio_features,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,0.867
American Saturday Night,0.512,https://api.spotify.com/v1/audio-analysis/3XKbdb9GB6u3hsnUklQTav,0.493,321640,0.643,3XKbdb9GB6u3hsnUklQTav,2.42e-05,0,0.209,-5.19,1,0.0299,144.717,4,https://api.spotify.com/v1/tracks/3XKbdb9GB6u3hsnUklQTav,audio_features,spotify:track:3XKbdb9GB6u3hsnUklQTav,0.3
Angel Eyes,0.0134,https://api.spotify.com/v1/audio-analysis/63w0QA1wiV7QhF9jeiHETF,0.656,186627,0.696,63w0QA1wiV7QhF9jeiHETF,0,8,0.0753,-5.917,1,0.0261,108.015,4,https://api.spotify.com/v1/tracks/63w0QA1wiV7QhF9jeiHETF,audio_features,spotify:track:63w0QA1wiV7QhF9jeiHETF,0.966
Angel In Blue Jeans,0.0151,https://api.spotify.com/v1/audio-analysis/2OpY5KKUvkYAkiY8FEG1Wi,0.616,204467,0.83,2OpY5KKUvkYAkiY8FEG1Wi,7.44e-06,0,0.102,-4.757,1,0.034,115.01,4,https://api.spotify.com/v1/tracks/2OpY5KKUvkYAkiY8FEG1Wi,audio_features,spotify:track:2OpY5KKUvkYAkiY8FEG1Wi,0.732
Animal,0.0746,https://api.spotify.com/v1/audio-analysis/5OMwQFBcte0aWFJFqrr5oj,0.755,199693,0.832,5OMwQFBcte0aWFJFqrr5oj,1.27e-06,2,0.291,-2.741,0,0.116,120.032,4,https://api.spotify.com/v1/tracks/5OMwQFBcte0aWFJFqrr5oj,audio_features,spotify:track:5OMwQFBcte0aWFJFqrr5oj,0.735
Animals,0.207,https://api.spotify.com/v1/audio-analysis/7F9vK8hNFMml4GtHsaXui6,0.683,190428,0.53,7F9vK8hNFMml4GtHsaXui6,0,5,0.394,-4.918,0,0.142,75.016,4,https://api.spotify.com/v1/tracks/7F9vK8hNFMml4GtHsaXui6,audio_features,spotify:track:7F9vK8hNFMml4GtHsaXui6,0.645
Another Round,0.114,https://api.spotify.com/v1/audio-analysis/1wCJ3JIsNaJK0MYct4Kmrv,0.605,226693,0.622,1wCJ3JIsNaJK0MYct4Kmrv,0,0,0.15,-5.133,1,0.0425,136.012,3,https://api.spotify.com/v1/tracks/1wCJ3JIsNaJK0MYct4Kmrv,audio_features,spotify:track:1wCJ3JIsNaJK0MYct4Kmrv,0.177
Antidote,0.00767,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,0.713,262693,0.526,1wHZx0LgzFHyeIZkUydNXq,0.000148,1,0.124,-5.046,1,0.032,131.05,4,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,audio_features,spotify:track:1wHZx0LgzFHyeIZkUydNXq,0.131
Any Ol' Barstool,0.312,https://api.spotify.com/v1/audio-analysis/4T5Z4mbTe7kuGqgLpaRtTh,0.536,203293,0.722,4T5Z4mbTe7kuGqgLpaRtTh,0,4,0.117,-4.163,1,0.0284,143.78,4,https://api.spotify.com/v1/tracks/4T5Z4mbTe7kuGqgLpaRtTh,audio_features,spotify:track:4T5Z4mbTe7kuGqgLpaRtTh,0.499
Anything Could Happen,0.429,https://api.spotify.com/v1/audio-analysis/7hMqIrwysNlIXRmFCIn5j3,0.514,286082,0.79,7hMqIrwysNlIXRmFCIn5j3,0,0,0.123,-3.895,1,0.0599,206.033,4,https://api.spotify.com/v1/tracks/7hMqIrwysNlIXRmFCIn5j3,audio_features,spotify:track:7hMqIrwysNlIXRmFCIn5j3,0.417
Anything Goes,0.00172,https://api.spotify.com/v1/audio-analysis/46ZfPS5VpSQVU5gb82hg3K,0.462,218867,0.977,46ZfPS5VpSQVU5gb82hg3K,0,0,0.352,-3.805,1,0.045,154.038,4,https://api.spotify.com/v1/tracks/46ZfPS5VpSQVU5gb82hg3K,audio_features,spotify:track:46ZfPS5VpSQVU5gb82hg3K,0.746
Anywhere With You,0.0418,https://api.spotify.com/v1/audio-analysis/2yWtLaPCOUDyi7f1lOXCn5,0.475,209587,0.936,2yWtLaPCOUDyi7f1lOXCn5,0,5,0.0873,-2.545,1,0.0413,151.988,4,https://api.spotify.com/v1/tracks/2yWtLaPCOUDyi7f1lOXCn5,audio_features,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,0.598
Apparently,0.564,https://api.spotify.com/v1/audio-analysis/1HNs07uZxZniPNmniw2GTa,0.801,293040,0.543,1HNs07uZxZniPNmniw2GTa,0,5,0.116,-9.236,1,0.091,133.982,4,https://api.spotify.com/v1/tracks/1HNs07uZxZniPNmniw2GTa,audio_features,spotify:track:1HNs07uZxZniPNmniw2GTa,0.534
